Finding,Severity,Target,Object Type,Domain,Description,Recommendation,Exploitable
Domain Admin Membership,Critical,jsmith,user,fabrikam.local,User account is a direct member of the Domain Admins group.,Remove standing Domain Admins membership; use just-in-time privileged access instead.,true
Domain Admin Membership,Critical,agarcia,user,fabrikam.local,User account is a direct member of the Domain Admins group.,Remove standing Domain Admins membership; use just-in-time privileged access instead.,false
DCSync Exposure,Critical,svc_reporting,service_account,fabrikam.local,"Account holds Replicating Directory Changes rights, enabling DCSync.",Remove replication rights from the account; audit who granted them.,true
DCSync Exposure,High,svc_sync,service_account,fabrikam.local,"Account holds Replicating Directory Changes rights, enabling DCSync.",Remove replication rights from the account; audit who granted them.,false
Privileged Group Membership,High,mchen,user,fabrikam.local,User account is a member of the Backup Operators group.,Review necessity of Backup Operators membership; remove if not required.,false
Privileged Group Membership,High,tward,user,fabrikam.local,User account is a member of the Account Operators group.,Review necessity of Account Operators membership; remove if not required.,false
Privileged Group Membership,Medium,efoster,user,fabrikam.local,User account is a member of the Server Operators group.,Review necessity of Server Operators membership; remove if not required.,false
Privileged Group Membership,Low,hpatel,user,fabrikam.local,User account is a member of the Print Operators group.,Review necessity of Print Operators membership; remove if not required.,false
Dormant Privileged Account,High,old_admin,user,fabrikam.local,Privileged account has not authenticated in over 180 days.,Disable or remove the dormant privileged account.,false
Dormant Privileged Account,Medium,temp_admin2,user,fabrikam.local,Privileged account has not authenticated in over 180 days.,Disable or remove the dormant privileged account.,false
Dormant Privileged Account,Medium,svc_old_backup,service_account,fabrikam.local,Privileged service account has not authenticated in over 180 days.,Disable or remove the dormant privileged account.,false
Dormant Privileged Account,High,jold_admin,user,fabrikam.local,Privileged account has not authenticated in over 180 days.,Disable or remove the dormant privileged account.,false
ACL Abuse,High,WKS-207,computer,fabrikam.local,Weak DACL grants GenericAll to a low-privileged group on this object.,Remove the excessive ACE and audit who added it.,true
ACL Abuse,Medium,Default Domain Policy,policy,fabrikam.local,Weak DACL allows unauthorized GPO edits.,Restrict GPO edit rights to Domain Admins / delegated GPO admins only.,false
Delegation Risk,High,SQL01,computer,fabrikam.local,Computer object is trusted for unconstrained delegation.,Convert to constrained delegation or remove delegation entirely.,false
Delegation Risk,Medium,APP03,computer,fabrikam.local,Computer object is trusted for unconstrained delegation.,Convert to constrained delegation or remove delegation entirely.,false
Delegation Risk,Low,FS02,computer,fabrikam.local,Computer object has broad constrained delegation rights.,Narrow the constrained delegation target list.,false
Password Not Required,High,svc_backup,service_account,fabrikam.local,PASSWD_NOTREQD flag is set on the account.,Clear the PASSWD_NOTREQD flag and set a strong password.,false
Password Not Required,Medium,svc_ftp,service_account,fabrikam.local,PASSWD_NOTREQD flag is set on the account.,Clear the PASSWD_NOTREQD flag and set a strong password.,false
Password Not Required,High,guest_acct,user,fabrikam.local,PASSWD_NOTREQD flag is set on the account.,Clear the PASSWD_NOTREQD flag and set a strong password.,false
Password Not Required,Medium,svc_legacy2,service_account,fabrikam.local,PASSWD_NOTREQD flag is set on the account.,Clear the PASSWD_NOTREQD flag and set a strong password.,false
Password Never Expires,Medium,svc_sql,service_account,fabrikam.local,Account password is configured to never expire.,Enable password expiration or move to a managed service account (gMSA).,false
Password Never Expires,Medium,svc_web01,service_account,fabrikam.local,Account password is configured to never expire.,Enable password expiration or move to a managed service account (gMSA).,false
Password Never Expires,Low,kwilliams,user,fabrikam.local,Account password is configured to never expire.,Enable standard password expiration policy for this account.,false
Password Never Expires,Low,svc_print,service_account,fabrikam.local,Account password is configured to never expire.,Enable password expiration or move to a managed service account (gMSA).,false
Reversible Encryption,High,svc_legacy,service_account,fabrikam.local,Account is configured to store passwords using reversible encryption.,Disable the reversible encryption flag on this account.,false
Password Reuse,Medium,dthompson,user,fabrikam.local,Password matches a password used elsewhere in the assessed environment.,Force a password reset and enforce unique passwords.,false
Password Reuse,Medium,rlee,user,fabrikam.local,Password matches a password used elsewhere in the assessed environment.,Force a password reset and enforce unique passwords.,false
Password Reuse,Low,nkim,user,fabrikam.local,Password matches a password used elsewhere in the assessed environment.,Force a password reset and enforce unique passwords.,false
Leaked Credential,High,bnguyen,user,fabrikam.local,Password matches a value found in a known public breach corpus.,Force an immediate password reset and enable breached-password protection.,true
Leaked Credential,Critical,svc_vpn,service_account,fabrikam.local,Password matches a value found in a known public breach corpus.,Force an immediate password reset and enable breached-password protection.,true
Weak Password,High,svc_test,service_account,fabrikam.local,Password was cracked by the assessment engine in under one hour.,Rotate the password and enforce a stronger password policy.,true
Weak Password,Medium,jbrown,user,fabrikam.local,Password was cracked by the assessment engine in under one hour.,Rotate the password and enforce a stronger password policy.,true
Weak Password,Medium,svc_monitor,service_account,fabrikam.local,Password was cracked by the assessment engine in under one hour.,Rotate the password and enforce a stronger password policy.,false
Weak Password,Low,svc_archive,service_account,fabrikam.local,Password was cracked by the assessment engine in under one hour.,Rotate the password and enforce a stronger password policy.,false
Weak Password,Critical,administrator,user,fabrikam.local,Built-in Administrator password was cracked by the assessment engine.,Rotate the password immediately and enable LAPS for local admin accounts.,true
Password Policy Weakness,Medium,fabrikam.local,domain,fabrikam.local,"Default domain password policy allows short, non-complex passwords.",Raise minimum length and enable complexity requirements domain-wide.,false
